0,진동하는보석,200,
1,꿀단지웜,500,
2,진동지팡이,2000,
3,애널웜,5000,
4,페니스밴드,2000,
5,아이마스크,4000,
6,수정구,7000,
7,클리캡,2000,
8,유두캡,3000,
9,볼개그,1000,
10,채찍,200,
11,바늘,2000,
12,오나홀,4000,
13,플레이매트,5000,;お風呂場でプレイの幅が広がる
14,밧줄,3000,
15,관장기＋플러그,8000,
16,큰거울,30000,;羞恥プレイが可能になる
17,착유기,1500,
18,개목걸이,5000,;野外プレイが可能になる
19,에이프런,10000,;新妻プレイが可能になる
20,애널비즈,7000,
21,전극플러그,50000,
22,똥개,3000,;獣姦調教が可能に
23,본디지수트,10000,;助手専用
;,,,
24,콘돔,100,;定番の避妊具、避妊には十分だが、使い捨て
25,로션,200,
26,미약,2000,;他のeraシリーズの媚薬にあたるアイテム
27,이뇨제,1000,
28,수정구의마력원,500,;ビデオカメラの使用に必要。使い捨て
29,구충제,500,;寄生を解除する
;,,,
30,영양제,1000,;体力を300回復する
31,향,3000,;否定の珠を半減する
;33,WGバッテリー,100000,;キャラの寿命を延ばす
34,피어스링,5000,;キャラにピアスを付ける
35,관전티켓,700,;闘技場利用に必要
;,,,
37,러브스코프,1000,;調教対象の好感度が表示されるようになる
38,부스터메일,100000,;マスターにTAL:魅惑がつく
39,【마계지식】,100000,;マスターにTAL:秘密知識がつく
;,,,
40,배란유발제,2000,;敢えて孕ませる場合に使う。
41,강모제,2000,;陰毛を生やす
;,,,
42,【조합지식】,40000,;マスターにTAL:調合知識がつく
52,【기교Lv】,5000,;マスターの技巧が上昇
53,【경험치】,1000,;経験値を10得る
;罠関係素質,,,
54,【음마지식】,100000,;魔王にTAL:淫魔知識がつく
55,【함정Lv】,5000,;罠の効果を増やす
56,【마충지식】,10000,;一部の罠を強化するTAL:魔蟲知識がつく
;ここから罠,,,
60,떨어지는함정,10,
61,화살형함정,50,
62,텔레포트형함정,80,
63,일방통행형함정,100,
64,최음가스형함정,120,
65,촉수바닥형함정,150,
66,미약늪형함정,170,
67,자위최면형함정,180,
68,시설의태형함정,190,
69,소환형함정,1000,
70,몽마형함정,180,
71,슬라임방형함정,90,
72,거미줄,10,
73,행상인,70,
74,어둠형함정,200,
75,슛,180,
76,마력확산형함정,300,
77,기름단지형함정,50,
78,화염방사형함정,110,
79,애널웜의함정,80,
80,음충의함정,60,
81,보석의함정,20,
82,공격진지함정,40,
83,방어진지함정,40,
84,마법진지함정,40,
85,팔함정,100,
;,,,
90,촉수생물,50000,;触手調教が可能に
91,장식의반지,100,;呪いアイテム
;,,,
;ここからモンスター,,,
100,코볼트,100,;1Fのユニット
101,고블린,100,
102,우즈,100,
103,드래곤플라이,200,
104,좀비,10,
110,오크,200,;2Fのユニット
111,홉고블린,180,
112,몬스터아이비,240,
113,좀비웜,360,
114,좀비하운드,100,
120,리자드맨,350,;3Fのユニット
121,오우거,230,
122,아머이터,400,
123,페어리,420,
124,포이즌센터피드,200,
130,트롤,430,;4Fのユニット
131,가고일,340,
132,임프,450,
133,위저드,500,
134,밴시,300,
140,레서데몬,510,;5Fのユニット
141,헬하운드,480,
142,슬라임,570,
143,윗치,600,
144,뱀파이어트리,400,
150,자이언트,630,;6Fのユニット
151,키마이라,560,
152,서큐버스,680,
153,프리스트,700,
154,나이트걸,500,
160,쿠노이치,710,;7Fのユニット
161,다크나이트,690,
162,브레인이터,750,
163,프리스티스,800,
164,픽시,600,
170,닌자,830,;8Fのユニット
171,듀라한,740,
172,뱀파이어,890,
173,위스프,900,
174,데스스콜피온,700,
180,아크데몬,1000,;9Fのユニット
181,로드오브데스,1000,
182,릴리스,1000,
183,나이트메어,1000,
184,이블아이,1000,
190,스켈레톤,1,;穴埋め用のスケルトンと、8F以降にランダム遭遇する強力モンスター
191,다크메사이어,10000,
192,나인테일,10000,
193,카오스드래곤,10000,
;,,,
;201～調教可能モンスター。現状280までを確保とする,,,
201,커맨더슬라임,15,
202,커맨더코볼트,15,
203,커맨더앤트,15,
204,커맨더스프라우트,15,
205,커맨더스퀼라,15,
206,커맨더페어리,15,
207,자이언트추장,15,
;208,커맨더데몬,15,;男勇者できてから考える
209,커맨더데빌,15,
210,하운드리더,15,
;,,,
;300以降は装備品,,,
300,장식용반지,1,;何もなし
301,파괴의반지,1,;ダメージ増加
302,수호의반지,1,;装備リセット時強化
303,가속의반지,1,;先手になりやすく
304,재생의반지,1,;回復量増加
305,의사의반지,1,;気力回復量増加
306,욕망의반지,1,;即落ち付与
307,괴력의반지,1,;装備リセット時攻撃値増加
308,강인함의반지,1,;装備リセット時防御値増加
309,지배의반지,1,;モンスターを仲間に
310,성장의반지,1,;経験値増加
311,허약함의반지,1,;装備リセット時ペナルティ
312,둔중함의반지,1,;後手になりやすく
313,죽음의반지,1,;体力と気力の回復量減衰
314,쇠약의반지,1,;基本攻撃値・基本防御値減少
315,세뇌의반지,1,;即陥落＆従順増加
316,함정회피의반지,1,;罠を高確率で避ける
317,침공의반지,1,;侵攻速度が上昇する
318,결계의반지,1,;必ずキャンプする
319,시련의반지,1,;侵攻減速＆キャンプ禁止（結界より上位）
320,불행의반지,1,;罠回数増加＆罠避け無効化
;340以降は武器,,,
340,소드,1,;攻撃値をそのままダメージとする装備
341,스태프,1,;ダメージが下がる代わりに気力が回復する装備
342,채찍,1,;ダメージが下がる代わりに防御力へのダメージが増加する装備
343,대거,1,;ダメージが下がる代わりに連続攻撃が可能な装備
344,수리검,1,;弾数のある限り連続攻撃が可能になる装備。弾が尽きるとダメージ低下
345,애로우,1,;弾数のあり限りダメージが強化される装備。弾が尽きると攻撃不可
346,메이스,1,;ミスする代わりにダメージが大きい装備
347,해머,1,;よくミスする代わりにかなりダメージの大きい装備
348,사이드,1,;ミスする代わりに気力が回復する装備
349,텐타클,1,;気力が下がる代わりに、敵勇者の気力へのダメージが増える装備
350,레이피어,1,;連続攻撃が可能な装備、ダガーの上位互換
351,크레센트블레이드,1,;ミスする代わりにダメージが大きい装備.。メイスの上位版
352,너클,1,;ダガーよりダメージが低く、ダガーより連続攻撃する
;400以降は消耗品,,,
400,약초,1,;HP500回復
401,포션,1,;気力500回復
402,회복의지팡이,1,;HP200回復複数使用可能
403,정신의지팡이,1,;気力200回復複数使用可能
404,힘의씨앗,1,;攻撃+1
405,수호의씨앗,1,;防御+1
406,경험의코인,1,;경험치+50
407,생명의씨앗,1,;最大HP+10
408,마음의씨앗,1,;最大気力+5
409,경험의은화,1,;경험치+150
410,성수,1,;寄生回復
411,타락의보석상자,1,;換金用
412,투명화약,1,;忍術相当の回避力UP
413,영웅의약,1,;攻撃・防御・回避率UP
;500以降は施設,,,
500,상점가,1,;現金収入
501,습지,1,;侵攻スピードを下げる
502,인간목장,1,;肉便器の数に応じてもモンスターが増える
503,얼음방,1,;攻撃力を下げる
504,달군모래,1,;防御力を下げる
505,미궁,1,;侵攻スピードを下げる高級版
506,박물관,1,;石像の数に応じて士気を下げる
507,창관거리,1,;娼婦の奴隷が階層に留まるようになる。イベントも発生する
;550以降は追加罠,,,
;600以降は追加モンスター,,,
600,바바리안,1,
601,자이언트앤트,1,
602,레드오크,1,
603,카니발플라워,1,
604,고릴라,1,
605,타투걸,1,
606,엘리펀트,1,
607,레드샤먼,1,
608,트롤메이지,1,
609,포레스트드래곤,1,
